Date-Time,".NSEBANK,Cndl,Open",".NSEBANK,Cndl,High",".NSEBANK,Cndl,Low",".NSEBANK,Cndl,Close",".NSEBANK,EMA,Trade Price",".NSEBANK,OBV,Trade Price",".NSEBANK,RSI,Trade Price",".NSEBANK,MACD,MACD",".NSEBANK,MACD,MACD Signal Line",".NSEBANK,Vol,Trade Price"
03-03-2020,29012.55,29285.35,28749.55,29177.05,30117.53526,15203000000000,31.97477436,-483.9006855,-302.5175269,367320000000
02-03-2020,29701,29791.15,28571.7,28868.4,30262.2253,14835700000000,26.32880447,-436.8877008,-257.1717372,368260000000
28-02-2020,29501.55,29564.1,29051.5,29147.15,30476.65996,15203900000000,28.29848438,-339.1011246,-212.2427463,386879000000
27-02-2020,30270,30271.95,29914.15,30187,30681.19995,15590800000000,38.19684105,-237.7393329,-180.5281517,358021000000
26-02-2020,30279.95,30515.35,30131.75,30306.85,30757.23072,15948800000000,39.68236668,-210.7824375,-166.2253564,290964000000
25-02-2020,30517,30610.7,30329.95,30432.7,30826.52006,16239800000000,41.24648702,-185.5126192,-155.0860862,215913000000
24-02-2020,30666.35,30702.15,30428,30455.1,30887.10776,16455700000000,41.5169502,-163.3745949,-147.4794529,254236000000
20-02-2020,30862.3,31085.3,30702.45,30942.85,30953.57049,16709900000000,47.86270028,-135.0227952,-143.5056674,273065000000
19-02-2020,30905,30947.15,30606.15,30838.2,30955.2198,16436900000000,46.22515251,-146.5334392,-145.6263854,268822000000
18-02-2020,30661.5,30692.75,30252.45,30562.5,30973.22284,16168100000000,41.74948223,-148.4385385,-145.399622,398867000000
17-02-2020,30873.85,30998.15,30630.5,30680.7,31036.41097,16566900000000,43.18021909,-120.6397593,-144.6398928,251932000000
14-02-2020,31281.85,31436.65,30776.1,30834.8,31091.13573,16818900000000,45.04916124,-95.43855725,-150.6399262,341366000000
13-02-2020,31586.55,31649.45,31180.6,31230.25,31130.572,17160200000000,50.22971242,-77.574644,-164.4402685,303030000000
12-02-2020,31441.15,31588.6,31398.15,31492.9,31115.23693,17463200000000,54.06413202,-93.90943627,-186.1566746,225959000000
11-02-2020,31230.2,31505.95,31225.9,31300.6,31057.13491,17237300000000,51.54962237,-140.1351611,-209.2184842,198887000000
10-02-2020,31248.65,31248.8,30957.2,31058.15,31019.67875,17038400000000,48.23204868,-177.5180295,-226.489315,239696000000
07-02-2020,31367.05,31368.2,31111.05,31201.95,31013.76009,17278100000000,50.1222406,-197.9642646,-238.7321363,254382000000
06-02-2020,31070.75,31470.65,30917.25,31304.05,30984.8078,17532500000000,51.45162778,-235.82307,-248.9241043,334000000000
05-02-2020,30761.95,31065.85,30630.85,31001.95,30935.69361,17198500000000,47.63573351,-291.1101551,-252.1993628,427604000000
04-02-2020,30235.3,30776.95,30182.45,30686.7,30925.50032,16770900000000,43.31874595,-326.6829778,-242.4716648,336610000000
03-02-2020,29811.75,30105.8,29612.55,30023.25,30962.23883,16434300000000,32.43327983,-335.2369009,-221.4188365,337112000000
31-01-2020,30950.5,31033.45,30691.8,30833.6,31106.69866,16771400000000,41.46496095,-273.7273715,-192.9643204,333435000000
30-01-2020,30889.25,30909.5,30521.3,30647.4,31148.71383,16437900000000,37.76737568,-273.7457196,-172.7735577,328859000000
29-01-2020,30915.1,31082.85,30835.8,30877,31225.83904,16766800000000,40.71201719,-250.8288369,-147.5305172,268788000000
28-01-2020,30922,31048.45,30656.35,30761.4,31279.50658,16498000000000,38.46911652,-241.3075963,-121.7059372,239605000000
27-01-2020,31110.55,31227.05,30808.55,30837.4,31359.21529,16737600000000,39.37855691,-213.8749206,-91.80552248,309935000000
